X,Y,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,opening_hours,operational_status,source,emergency,name,wheelchair,url,dispensing,operator_type
-73.7505,18.19848093,13,,hospital,,,"Janette Jean Louis (miss), Marjorie Louis- Jean",,42884253,,,,,FOSREF-LAKAY CAYES,,,,
-71.95069601,18.86667896,10,,hospital,,,,,4177495,,,,,Dispensaire Caste,,,,
-73.74835574,18.19454337,13,,pharmacy,,,,,15830090,,,survey,,Pharmacie Christ-Roi,,,,
-72.30064458,18.54028438,13,,hospital,,,,,11289646,,,,yes,J/P Haitian Relief Organization Klinik Ijans,,,,
-72.2505886,18.66417109,17,,pharmacy,,,,,60301696,,,Survey,,Gina Pharmacie,,,yes,
-71.83433944,19.66031577,17,,pharmacy,,,,,17302886,,,survey,,"#80, Pharmacie et Produit Cosmetique",,,no,
-72.70054501,19.10934025,10,,pharmacy,,,,,24337243,,,,,,,,Fleming Pharmacie,
-72.28264452,18.6027154,10,,clinic,,,,,24758464,,,,,Zepharm,,,,
-71.72300563,19.54784044,17,,pharmacy,,,,,17302886,,,survey,,Jesus Homme Sauve / Paix et joie Pharma,,,no,
-71.94163484,19.27054345,13,,hospital,,,MSPP,,30642163,,,,,Centre de Santé de Cerca-Carvajal,,,,
-72.63974386,19.59369062,10,,doctors,,,,,38249952,,,hot_cosmha_iom,,,,,,
-72.38621023,18.53107636,10,,hospital,,,,,41628173,,,,,,,,,private_for_profit
-72.31038661,18.55461853,13,,hospital,,,,,16677898,,,iom_c-osm.ha,,MSF,,,,
-72.32819623,18.53517519,20,,hospital,,,,,41628173,,open,survey; CNIGS/OIM/ FOCS,,Hôpital Saint Joseph,,,,private_for_profit
-71.72703272,19.55041989,17,,pharmacy,,,,,15909572,,,survey,,Phamacie alternative,,,yes,
-72.33290392,18.54972626,17,,pharmacy,,,,,16677898,,open,hot_iom_cosmha,,July pharma,,,,
-72.17898703,19.18842292,10,,hospital,,,,,4177495,,,,,Dispensaire Bassin Cave (NF),,,,
-73.84029114,18.04188938,13,,hospital,,,MSPP,,43121801,,,,,Centre de santé Saint-Jean-du-sud,,,,
-72.61757875,19.89194967,17,,hospital,,,MSPP,,60859620,,open,,,Centre de Sante de Anse à Foleur,,,,
-72.33924215,18.55371923,17,,hospital,,,,,16677898,,open,hot_iom_cosmha,,Clinic medical Bon Secour,,,,
-72.28265626,18.60263434,13,,pharmacy,,,,,24758464,,,,,Zepharm,,,yes,
-72.93071165,18.42045753,17,,hospital,,,,,16677898,,open,CNIGS/OIM/FOCS,,Centre de Sainte Rousseau Cesaire,,,,
-72.3063586,18.54697725,17,,pharmacy,,,,,68002149,,,hot_cosmha_iom,,Tama Pharma,,,yes,
-72.50948271,18.50834606,10,,hospital,,,,,11112005,,,,,Dispensaire morne a bateau,,,,
-72.95691365,18.8217005,13,,hospital,,,COMMUNAUTAIRE,,4177495,,,,,DISPENSAIRE COMMUNAUTAIRE DE GRANDE SOURCE,,,,
-72.24969543,18.53051242,10,,hospital,,,,,6386171,,,,,CENTRE DE SANTE EVANGELIQUE DE TORCELLE,,,,
-71.96892112,19.02651817,10,,hospital,,,,,74502502,,,,,Sante de Santé de Tomonde,,,,
-73.00352583,18.19011705,10,,hospital,,,,,42698127,,,,,Dispensaire de Côtes-de-Fer,,,,
-72.61524163,19.06696429,20,,hospital,,,RSCH,,16724243,,open,GPS,,Centre de sante Saint-Michel,,,,
-72.86363648,18.30371958,10,,hospital,,,,,4177495,,,,,CENTRE DE SANTE DES PALMES,,,,
,,10,,hospital,,,,,42803600,,,Bing,,,,,,
-72.50950475,18.50852468,13,,hospital,,,PAM / CRS / AOPS (source: MSPP_2005),,11112005,,,,,Centre de Santé FOSADEC,,,,
-72.70005903,19.10928284,13,,pharmacy,,,,,24337243,,,bing with offset,,,,,Shalom,
-72.22338137,19.73294522,13,,pharmacy,,,,,15830051,,,,,Pharmacie de Secours,,,no,
-72.53790206,18.53523445,17,,clinic,,,,,16677898,,open,CNIGS/OIM/FOCS,,CENTRE MEDICAL DE LA PAIX DE GRESSIER,,,,
-72.47190831,18.33338833,10,,hospital,,,,,4177495,,,,,DP DE MARBIAL,,,,
-72.15777604,18.71027592,10,,hospital,,,,,3987677,,,,,FOND MICHEL,,,,
-73.75246832,18.19243037,13,,pharmacy,,,,,15830090,,,survey,,Adar Pharma,,,,
-73.65432353,18.30126796,10,,pharmacy,,,,,15830090,,,,,Pharmacie le Bon Samaritain,,,,
-72.63606403,19.16528996,13,,hospital,,,,,3935016,,,2005 MSPP database with geocodes,,DP CLEMENTINE ET LORISMENE,,,,
-72.23947772,18.58157649,13,,pharmacy,,,,,73505468,,,hot_iom_cosmha,,Indada Pharmacie Store,,,,
-72.29515778,18.53763335,10,,pharmacy,,,,,47913648,,,,,Caribbean Canadian Chemical Company (4C),,,,
-72.2750454,18.64449608,17,,pharmacy,,,,,46473336,,,survey,,Vision Phama,,,yes,
-72.67574455,19.33001816,13,,hospital,,,,,6385826,,,2005 MSPP database with geocodes,,DP AUX SOURCES,,,,
,,20,,doctors,,,,,41628173,,open,CNIGS/GIS/DTM,,Microlab Polyclinique,,,,private_for_profit
-72.33710518,18.53356436,10,,pharmacy,,,,,69189094,,,,,,,,yes,
-73.01882716,19.74533602,13,,hospital,,,,,16677898,,open,,,Agent Paulonne Dorvilus,,,,
-72.7096268,18.3069923,10,,hospital,,,,,3987677,,,,,DP ST FRANCOIS XAVIER DE BAUDIN,,,,
-72.30277702,18.54472193,10,,hospital,,,,,6386171,,,,,DELMAS CLINIC MULTIMED 2,,,,
-72.82394615,18.37765853,10,,hospital,,,,,4177495,,,,,DP APV,,,,
-71.74849802,19.18730897,10,,hospital,,,,,4177495,,,,,Dispensaire de Pacasse (NF),,,,
-73.45000006,18.43299996,10,,hospital,,,,,42782721,,,,,CENTRE JEUNES DE DELMAS 19,,,,
-72.84118287,19.78587166,10,,hospital,,,,,6379940,,,,,La Plate,,,,
-72.41939217,18.53830793,10,,hospital,,,,,6386171,,,,,DISPENSAIRE MORNE A CHANDELLE,,,,
-74.31322754,18.55048499,13,,hospital,,,MSPP,,4177495,,,,,CENTRE DE SANTE DE CHAMBELLAN,,,,
-73.34594887,19.77839592,10,,hospital,,,,,17218259,,,,,Côtes de Fer,,,,
-72.51529464,18.77188207,13,,pharmacy,,,,,15830090,,,survey,,Sagesse Immaculée Pharma,,,,
-73.75155654,18.19639099,13,,pharmacy,,,,,42637487,,,survey,,Dépot médical,,,,
-72.33322621,19.64380552,10,,hospital,,,,,15899341,,,,,Disp de Soufrière,,,,
-72.29811425,18.56895552,20,,hospital,,,,,41628173,,open,hot_cosmha_iom,,cro,,,,private_for_profit
-73.12784035,19.83001805,10,,hospital,,,,,4177495,,,,,La Montagne,,,,
-72.63249284,18.51120513,13,,pharmacy,,,,,16677898,,,hot_oim_cosmha,,st paul,,,,
-71.81155005,18.86322696,10,,hospital,,,,,4177495,,,,,Dispensaire de Croix de fer,,,,
-72.05757575,19.3993733,10,,hospital,,,,,4177495,,,,,Disp Catholique,,,,
-72.99067947,18.26021868,10,,hospital,,,,,4177495,,,,,DP DE RICOT,,,,
-72.60880617,19.30428513,20,,pharmacy,,,,,16677898,Tu-Su 08:00-15:00;Sa 08:00-12:00,open,hot_iom_cosmha,,,,,yes,
-73.94740935,18.26726945,13,,hospital,,,MPL MOUVMAN PAYSAN LE PRETRE,,42884253,,,,,Leprêtre,,,,
-72.5358106,18.23650326,20,,pharmacy,,,,,16677898,24/7,,c-osm.ha,,Pertetuel Secours,,,no,
-72.33286486,18.53831623,13,,hospital,,Avenue Christophe No. 120,,,68511028,,,,,Hôpital-Maternité Sapiens,,,,
-72.18348057,19.73769398,13,,dentist,,,,,15911268,,,survey,,La Sagesse Centre Medical Et Dentaire,,,,
-72.278888,18.57611098,13,,hospital,,,,,6386171,,unspecified,,,PORT AU PRINCE HOSPITAL MINUSTAH,,,,
-72.69007425,19.45372692,17,,hospital,,,MSPP,,15030623,,,,yes,CENTRE MEDICO - SOCIAL DE K- SOLEIL,,,,
-72.40124208,18.54022638,13,,hospital,,,THOMAS,,6386171,,,,,MAIN DE DIEU,,,,
-72.32112802,18.53623416,10,,pharmacy,,,,,69239198,,,,,Makensky Medical Supplies,,,,
-72.28875526,18.51620862,10,,clinic,,,,,37787676,,,,,Clinique des Cèdres,,,,
-72.52682126,18.23496928,13,,hospital,,,Jounel Decembre,,10059595,,,,,VDH JACMEL,,,,
-72.69837611,19.11230896,13,,doctors,,,,,25147407,,,Bing with offset,,Clinique Medicale de Saint-Marc,,,,
-72.33435181,18.5361164,10,,pharmacy,,,,,66635997,,,,,Chi-Pharma,,,,
-72.31923748,18.56503933,10,,hospital,,,,,72115868,,,,,Hôpital Raboteau,,,,
-72.70131254,19.10449417,17,,pharmacy,,,,,26831797,,,Bing With Offset,,Pharmacie de la Vie,,,no,
-72.10556014,18.83217427,17,,pharmacy,,,,,15830090,,,survey,,Union Bar Pharmacy,,,yes,
-72.83075754,19.94168679,10,,hospital,,,,,63394044,,,,,PORT DE PAIX HOSPITAL BERACA LA POINTE,,,,
-73.75083871,18.19832268,17,,pharmacy,,,,,42631422,,,survey,,Pharmacie Jounam,,,no,
-72.30782393,19.63905114,13,,hospital,,,,,4177495,,,Health Facility List provided by PAHO/WHO,,DISPENSAIRE LA BRUYERE,,,,
-72.29118811,18.65871967,20,,clinic,,,,,70835391,9:00-16:00,,Survey-ARC,,Poste d'Urgence Croix-Rouge Haïtienne,,,,ngo
-72.08712733,19.42041867,10,,clinic,,,,,21325945,,,,,Clinic,,,,
-72.32750003,18.53659995,10,,hospital,,,,,6386171,,,,,Hôpital Saint Joseph,,,,
-72.6166383,19.60937987,17,,hospital,,,,,7730628,,open,hot_iom_c_osm.ha,,salle d'attente dispensaire sainte anne,,,,
-73.63583448,18.41444477,10,,hospital,,,,,4177495,,,,,SUDRE,,,,
-73.26648868,19.83237437,13,,hospital,,,,,17684715,,,bing 2010,,DP DE COTE DE FER,,,,
-72.41122065,18.53070403,17,,hospital,,,,,41628173,,,CNIGS/OIM/FOCS,,CENTRE DE SANTE MARANATHA,,,,private_for_profit
-71.72625957,19.54958966,13,,pharmacy,,,,,15874682,,,survey,,,,,Notre-dame du rosaire pharmacie,
-72.26255612,18.64162846,10,,clinic,,,,,45759880,,,,,La Référence,,,,
-71.73741086,19.54632533,17,,clinic,,,,,34090712,,,bing; Survey,,Snerrose Polyclinique,,,,private
,,10,,hospital,,,,,53811174,,,,,,,,,
-72.21776507,19.74023999,13,,pharmacy,,,,,15784978,,,,,Eben-Ezer Pharma,,,no,
-72.25897034,19.61366923,17,,hospital,,,,,16649371,,,survey,,Hopital de Robillard,,,,private
-72.21101387,19.74153843,17,,clinic,,,,,15776601,,,Bing,,Clinic Buco dentaire,,,,private
-73.33624313,19.69290948,13,,hospital,,,INTERNATIONAL MISSIONARY FELLOSHIP,,17942609,,,,,HOPITAL EVANGELIQUE DE BOMBARDOPOLIS,,,,
-72.00843266,19.1463933,13,,pharmacy,,,,,72706613,,,,,Pharmacie Solitude,,,yes,
-72.87487007,19.74289395,13,,hospital,,,TCHAKA,,4177495,,,,,DISPENSAIRE DE HAUT MOUSTIQUE,,,,
-72.26472586,18.56030372,6,,doctors,,,,,6717135,,,,,,,,,
-71.67990446,19.12372947,13,,hospital,,,MSPP,,30642163,,,,,Centre de Santé de Los Cacaos,,,,
-72.27654971,18.61433799,17,,pharmacy,,,,,16677898,,,hot_iom_cosmha,,paulette pharmacie,,,no,
-74.16104101,18.53383392,10,,hospital,,,,,66864409,,,,,CARITAS,,,,
-73.41515581,18.38347046,13,,hospital,,,MSPP,,62629534,,,,,DISPENSAIRE DE L'AZILE,,,,
-72.50928121,18.5084583,10,,hospital,,,,,11112005,,,,,Dispensaire Zev Atizan Lape,,,,
-72.63715687,18.51649394,13,,pharmacy,,,,,16677898,,,hot_oim_cosmha,,pharmacie blanda,,,,
,,13,,hospital,,,,,55134185,,,,,Abandoned Government hospital,,,,
-73.12784203,19.83001872,10,,hospital,,,,,4177495,,,,,Dubois,,,,
-72.33206623,18.52517407,27,,hospital,,,Croix-Rouge Haitienne,,35047051,,open,CNIGS/OIM/ FOCS,no,Croix-Rouge Haitienne,,,,government_facility-public
-72.68081577,19.66928173,17,,hospital,,,,,63884229,,open,,,Alma Mater,,,,private_non_profit
-72.13871367,19.52386837,10,,doctors,,,,,13361574,,,,,Dispanse Kominote Senate Polycap,,,,
-71.91670002,18.69999995,10,,hospital,,,,,4177495,,,,,HAS PLASSAC UF 8,,,,
-71.94894201,18.81023849,6,,hospital,,,,,74506563,,,,,,,,,
-72.72080507,19.07906549,13,,doctors,,,,,10967323,,,Bing With Offset,,FEBS,,,,
-72.26114184,18.57726366,10,,hospital,,,,,16119607,,,,,LA Vierge Miracle Centre Medical de Fleurs,,,,
-72.20027757,19.43639088,17,,hospital,,,SOEURS DE ST JOSEPH,,15978402,,,Health Facility List provided by PAHO/WHO,,Dispensaire St Joseph,,,,
-72.32334118,18.53269683,13,,,,,Croix Rouge Haïtienne,,68881719,,,,,Centre National de Transfusion Sanguine,,,,
-71.83270203,18.30595126,10,,hospital,,,,,42803600,,,,,NOTRE DAME DES PINS D'ORIANIE,,,,
-72.53100224,18.23654047,13,,pharmacy,,,,,16677898,,,hot_cosmha_iom,,owen pharmacie,,,,
-72.40844465,18.53786905,13,,hospital,,,DR PIERRE,,6386171,,,,,CENTRE MEDICAL O.M./ PES SANTE PLUS,,,,
-72.51538156,18.7931856,17,,pharmacy,,,,,15830090,,,survey,,Dele One Pharma Store,,,no,
-72.43186763,19.31441835,10,,hospital,,,,,4177495,,,,,DISPENSAIRE DE MAMONT,,,,
-73.75246883,18.19207766,13,,hospital,,,,,15830090,,,SURVEY,,CITY MED,,,,
-71.72708293,19.55154943,17,,pharmacy,,,,,15849810,,,survey,,Roca Pharma,,,no,
-73.82629194,18.19721568,10,,hospital,,,,,42884253,,,,,Maison de Naissance,,,,
-73.75146501,18.19408764,13,,hospital,,,,,42631422,,,survey,,Complexe médico-légal du sud,,,,
-72.27888281,18.62098157,13,,hospital,,,FONDATION BON SAMARITAIN EN ACTION,,15976286,,,,,Centre médico-social,,,,
-71.72729608,19.55829469,17,,pharmacy,,,,,29542090,,,survey,,Pharmacie de l'Espérance,,,no,
-73.13815906,19.86447689,13,,hospital,,,MISSION CATHOLIQUE,,4177495,,,,,DISPENSAIRE BON SECOURS DE CROIX SOVALE,,,,
-72.32947832,18.58504626,20,,hospital,,,Lamp Foundation,,42376198,,open,,,Lanp Pou Ayiti (Lamp for Haiti),,,,non_religious_based_NGO
-72.31465702,18.56199292,17,,pharmacy,,,,,69892383,24/7,,hot_cosmha_iom,,,,,no,
,,13,,hospital,,,PAROL ET AKSYON / MSPP,,6386171,,,,,CENTRE DE SANTE DE GANTHIER,,,,
-72.25999276,18.64769227,17,,pharmacy,,,,,39610195,,,Survey-ARC,,Patience,,,yes,
-73.88644047,18.33633298,10,,hospital,,,,,42884253,,,,,DISPENSAIRE DE RHE,,,,
,,13,,hospital,,,,,16677898,,restricted,hot_cosmha_iom,,,,,,
-72.31660674,18.5330617,6,,clinic,,,,,69323576,,,,,,,,,
-72.26920297,18.64798002,17,,hospital,,,,,39673269,,,Survey-ARC,,Hopital,,,,private
-71.72913398,19.55167055,17,,pharmacy,,,,,29094587,,,Survey,,Alléluia Pharma,,,yes,
-72.37729708,18.71378425,17,,hospital,,,,,15078370,,open,DTM/GIS/OIM,,Centre de sante de source Matelas,,,,
-73.39383762,18.28126337,10,,pharmacy,,,,,15830090,,,,,Bethesda Pharma,,,,
-72.33385317,18.55256127,13,,pharmacy,,,,,16677898,,,hot_iom_cosmha,,Mahanaim,,,,
-72.33333894,18.54153404,20,,hospital,,,,,41628173,,open,CNIGS/OIM/ FOCS,,UMO,,,,private_for_profit
-74.27800594,18.64775983,13,,hospital,,,MSH - EGLISE CATHOLIQUE,,63354251,,,,,Centre de Santé Léon Coicou,,,,
-73.60331035,18.07138219,13,,doctors,,,,,15830090,,,survey,,Clinique Revolution De Bois Bouton,,,,
-72.69779365,19.10226878,17,,pharmacy,,,,,10677871,,,Bing with offset,,Le Regard Divin,,,no,
-73.24249104,18.47628998,13,,hospital,,,MSPP (AIDE PAR CARE ET CRS),,4177495,,,,,DISPENSAIRE DE PETITE RIVIERE DE NIPPES,,,,
-72.28916606,18.53146184,13,,pharmacy,,,,,70180318,,,,,Pharma Eagle,,,yes,
-72.35617946,18.71574645,17,,hospital,,,,,16677898,,open,DTM/GIS/OIM,,CENTRE SANTE DE LA FONDATION DES L'ESPLOIR,,,,
-72.68341374,19.10096849,13,,hospital,,,,,16724243,,open,Bing with offset,,,,,,
-72.26193007,18.63306308,13,,pharmacy,,,,,16677898,,,hot_iom_cosmah,,pharmacie dispensaire,,,,
-73.34349213,18.29888306,10,,hospital,,,,,11101742,,,,,DP ST ANTOINE DE VIEUX BOURG D'AQUIN,,,,
-72.45987693,19.21837817,10,,hospital,,,,,75413174,,,,,Celio,,,,
-73.88300004,18.19999998,10,,hospital,,,,,42760303,,,,,DISPENSAIRE DE CHANTAL,,,,
-72.21460836,19.73616035,17,,pharmacy,,,,,15779446,,,survey,,La foi pharma,,,no,
-72.29170167,18.50921267,13,,hospital,,,DOCTEUR RE,,15976286,,,,,Centre de Santé de Jalousie,,,,
-72.55072804,19.23012449,10,,hospital,,,,,4177495,,,,,DISPENSAIRE DE PELISSIER,,,,
-72.31906733,18.53514996,10,,clinic,,,,,68352646,,,,,Met Lab,,,,
-72.27897031,18.59681034,17,,,,,,,33979156,,open,C-osm.ha/COOPI,,Aris CLinique Medical,,,,
-72.65533881,19.9060451,13,,hospital,,,EGLISE CATHOLIQUE,,9342566,,,,,Centre de sante Saint Joseph de Bonneau,,,,
-72.86485286,18.43337807,13,,hospital,,,,,3905927,,,MINUSTAH GIS,,Rehabilitation de l'Hopital,,,,
-73.95143107,18.505214,10,,hospital,,,,,4177495,,,,,SSPE de Moulines,,,,
-72.31572018,18.61460253,17,,clinic,,,,,19624779,,open,CNIGS/OIM/FOCS,,Clinic Medical,,,,
-72.31459734,18.52869808,10,,hospital,,,,,16677273,,,,,Dispensaire CITE MERICAIN,,,,
,,13,,hospital,,"45, rue panamericaine, Petion-ville",,,37787676,,,,,Hôpital Eliazar Germain,,,,
-74.20894224,18.58725674,13,,hospital,,,MSPP,,4177495,,,,,DISPENSAIRE DE MARFRANC,,,,
-72.45515138,19.21225863,10,,hospital,,,,,4177495,,,,,DISPENSAIRE POSTE - PIERROT,,,,
-72.53498566,19.12718658,10,,hospital,,,,,4177495,,,,,CENTRE DE SANTE DE LIANCOURT,,,,
,,10,,hospital,,,,,35292485,,,,,Hopital Sarepta,,,,
-73.57039721,18.29099225,10,,hospital,,,,,4177495,,,,,DP SAINTE ANNE DE SUCRERIE HENRY,,,,
-72.50628451,18.33110033,17,,dentist,,,,,30450907,Th,,hot_c.osm-ha_iom,,clinique bon samaritain,,,,
-72.43300002,18.73299993,10,,hospital,,,,,3987677,,,,,SADA - BELLANGER,,,,
-72.51061108,18.77187662,13,,hospital,,,,,15830090,,,survey,,Croix Rouge Haitienne,,,,
-72.29154652,18.56890632,20,,dentist,,,,,41628173,,open,hot_cosmha_iom,,clinique dentaire les vrais amis,,,,private_for_profit
,,13,,pharmacy,,,,,71002482,,,,,Pharmacie Bienveillance,,,yes,
-72.11886607,19.33766774,13,,hospital,,,EGLISE CATHOLIQUE,,9488112,,,,,Hopital Bienfaisance de Pignon,,,,
,,17,,hospital,,,FONDEF H.,,11700294,,,Google 2010-01-21,,Service de Sante FONDEFH,,,,
-72.42038878,18.54002848,13,,hospital,,,Soeur Lucie,,15976286,,,,,DISPENSAIRE MARIE LOUISE DE JESUS,,,,
-72.40201548,19.70738377,10,,hospital,,,,,43349719,,,,,Hôpital Saint-Jean de Limbé,,,,
-72.24211685,18.57925386,13,,pharmacy,,,,,16677898,,,hot_iom_cosmha,,union pharmacie druc store,,,,
,,17,,hospital,,"Rue Audant, Rte de Freres, Freres, Haiti",FHASE(FONDATION HAITIENNE POUR LA SANTE ET L'EDUCATION),,,,,,yes,Hopital de la Communaute Haitienne (HCH),,,,
-72.69537472,19.44297353,13,,hospital,,,,,16677898,,,hot_cosmha_iom,,hopital raboto,,,,
-72.26396528,18.65274714,17,,clinic,,,,,42435867,,,Survey-ARC,,Mitho Centre De Santé,,,,private
-72.31806284,18.53511568,13,,doctors,ophthalmology;otolaryngology,,,,68352646,,,,,Opti Soins,,,,
-72.23611951,18.67318356,17,,clinic,,,,,42435867,,,Survey-ARC,,Organisation Sociale de Santé et Pour le Developpemant D'onaville,,,,public
-72.61694717,19.14890669,17,,clinic,,,Etat,,65767988,,,2005 MSPP database with geocodes,,DP DE PONT SONDE,,,,
-72.2859319,18.59547813,13,,hospital,,,,,17465075,,open,,,CENTRE DE LA SANTE DE LA CROIX DES MISSIONS,,,,
-72.2848762,18.44851168,13,,hospital,,,STEPHANIA,,42930522,,,,,centre de santé de Kenscoff,,,,
-72.23727387,18.58163089,6,,pharmacy,,,,,73895492,,,,,,,,,
-72.31830131,19.36000375,6,,dentist,,,,,21318357,,,,,,,,,
-72.31414791,18.57980707,17,,pharmacy,,,,,17465075,,open,drr:iom,,mimi pharma Bethesda,,,,
-72.26585054,19.71082403,13,,pharmacy,,,,,16131610,,,survey,,,,,NE YOU Pharma store,
-72.02271198,19.61645529,17,,pharmacy,,,,,16239466,,,survey,,Siloe Pharma,,,no,
-72.25113033,18.65619563,20,,hospital,,,,,58916679,,open,Survey-ARC,,Plan Haiti,,,,public
-72.28062222,18.53041,20,,dentist,,,,,41628173,,open,CNIGS/OIM/FOCS,,Centre Bucco dentaire,,,,private_for_profit
-72.19871334,18.81532606,13,,hospital,,,,,15830090,,,survey,,Croix Rouge Hatienne,,,,
-73.90108626,18.43507859,13,,hospital,,,MSPP,,37159469,,,,,Dispensaire de Duchity,,,,
-71.75000207,19.04999873,10,,hospital,,,,,4177495,,,,,DISPENSAIRE DE BOCBANIC,,,,
-72.86420753,20.03818454,10,,hospital,,,,,4177495,,,,,DISPENSAIRE LA VALLEE,,,,
-72.29845296,18.51688546,10,,hospital,,,,,9338892,,,,,CASF Kay Pou Zafet Sante Fanm,,,,
,,17,,hospital,,,,,15078952,,,Sahana Foundation; Hospital Albert Schweitzer,,Hôpital Albert Schweitzer (HAS),,http://www.hashaiti.org/,,
-72.21236394,19.74189273,13,,pharmacy,,,,,15778146,,,Bing;Survey,,,,,no,
-73.74928404,18.19460522,13,,hospital,,,Docteur Serge Louissaint,,42884253,,,,,Klinik Lafanmy,,,,
-72.49060096,19.02533942,10,,hospital,,,,,3935016,,,,,Albert Schweitzer,,,,
-73.05465502,19.63235995,13,,hospital,,,MSPP,,4177495,,,,,CENTRE DE SANTE D'ANSE ROUGE,,,,
-72.17485165,18.29745478,17,,hospital,,belle-anse,,,16724243,,open,,,mare-briole,,,,
-73.80322527,18.28234464,13,,hospital,,,CARITAS DOCESAIN - CAYES (DCCH),,42884253,,,,,LABORDE,,,,
-73.75049573,18.19391849,13,,pharmacy,,,,,42631422,,,survey,,Parmacie La Génèse,,,,
-72.10139785,18.83501364,10,,hospital,,,,,10769232,,,,,Clinique Marianne Marseille,,,,
-72.32044573,18.68784326,13,,clinic,,,,,42445122,,,Survey-ARC,,Centre de Santé de St Christophe,,,,
-71.95069635,18.86667963,10,,hospital,,,,,4177495,,,,,Dispensaire la Hoye,,,,
-73.20040056,19.69273614,10,,hospital,,,,,4177495,,,,,La Source,,,,
-72.10147052,18.83428198,20,,pharmacy,,,,,15830090,24/7,,survey,,Pharmacie Emmanuel,,,no,
-72.28436021,18.55575545,20,,hospital,,,,,41628173,,open,hot_cosmha_iom,,fosref hospital,,,,private_non_profit
-72.46294756,18.32727256,10,,hospital,,,,,4177495,,,,,DP SAINTE THERESE DE MARBIAL,,,,
-71.73171753,19.55468695,17,,clinic,,,,,29273602,,,survey,,Fraternité Clinique,,,,private
-72.36329293,19.2879789,10,,hospital,,,,,19245786,,,,,Lacidras,,,,
-72.15652563,19.69663749,17,,pharmacy,,,,,16311515,,,survey,,Emanise Pharma,,,no,
-72.69831601,19.11310038,17,,pharmacy,,,,,25100212,,,Bing with offset,,Doromy Shama,,,no,
-72.6783571,19.44418689,13,,pharmacy,,,,,16677898,,,hot_cosmha_iom,,jerusalem pharma,,,,
-71.72182538,19.54896898,17,,pharmacy,,,,,15876326,,,survey,,Fraternite Pharmacie,,,no,
-73.79937974,18.2279823,10,,hospital,,,,,42760303,,,,,FONFRED,,,,
-72.27460183,19.71129216,17,,hospital,,,,,16131610,,,survey,,Mama baby haiti centre d´accouchement,,,,private
-73.74983381,18.1955554,13,,pharmacy,,,,,15830090,,,survey,,Pharmacie Grandeur De Dieu,,,,
-72.30710065,18.54559105,17,,pharmacy,,,,,75398098,,,,,Zara Pharma,,,no,
